application_id,score,pd,decision,sabab
AP002333,475,0.0691,toladi,Одобрено (скор 475). Положительные факторы: Стаж работы (мес): +18 баллов; Срок кредита (мес): +11 баллов
AP002334,546,0.0272,toladi,Одобрено (скор 546). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов; Стаж работы (мес): +16 баллов
AP002335,482,0.0632,toladi,Одобрено (скор 482). Положительные факторы: Тип занятости: +13 баллов; Медианный доход: +10 баллов; Нестабильность дохода (CV): +7 баллов
AP002336,479,0.0655,toladi,Одобрено (скор 479). Положительные факторы: DTI (долг/доход): +12 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002337,434,0.1154,defolt,Отказ (скор 434). Основные факторы: Срок кредита (мес): -22 баллов; Возраст: -20 баллов; Медианный доход: -18 баллов
AP002338,442,0.1051,defolt,Отказ (скор 442). Основные факторы: Возраст: -24 баллов; Стаж работы (мес): -23 баллов; Нестабильность дохода (CV): -15 баллов
AP002339,521,0.0377,toladi,Одобрено (скор 521). Положительные факторы: Стаж работы (мес): +18 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002340,387,0.2018,defolt,Отказ (скор 387). Основные факторы: DTI (долг/доход): -57 баллов; PTI (платёж/доход): -38 баллов; Медианный доход: -17 баллов
AP002341,469,0.075,toladi,Одобрено (скор 469). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; Возраст: +10 баллов
AP002342,477,0.0675,toladi,Одобрено (скор 477). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002343,607,0.0118,toladi,Одобрено (скор 607). Положительные факторы: Медианный доход: +35 баллов; DTI (долг/доход): +17 баллов; Возраст: +16 баллов
AP002344,508,0.0451,toladi,Одобрено (скор 508). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Стаж работы (мес): +11 баллов
AP002345,475,0.0691,toladi,Одобрено (скор 475). Положительные факторы: Возраст: +23 баллов; PTI (платёж/доход): +8 баллов
AP002346,475,0.069,toladi,Одобрено (скор 475). Положительные факторы: Стаж работы (мес): +15 баллов; Тип занятости: +11 баллов; PTI (платёж/доход): +9 баллов
AP002347,532,0.0328,toladi,Одобрено (скор 532). Положительные факторы: Стаж работы (мес): +24 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002348,545,0.0274,toladi,Одобрено (скор 545). Положительные факторы: Стаж работы (мес): +19 баллов; Медианный доход: +13 баллов; Тип занятости: +13 баллов
AP002349,428,0.1248,defolt,Отказ (скор 428). Основные факторы: PTI (платёж/доход): -33 баллов; Стаж работы (мес): -26 баллов; Медианный доход: -21 баллов
AP002350,520,0.0381,toladi,Одобрено (скор 520). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Медианный доход: +13 баллов
AP002351,462,0.0821,toladi,Одобрено (скор 462). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; Тип занятости: +11 баллов
AP002352,478,0.0666,toladi,Одобрено (скор 478). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002353,515,0.0409,toladi,Одобрено (скор 515). Положительные факторы: Медианный доход: +21 баллов; Тип занятости: +13 баллов; Срок кредита (мес): +11 баллов
AP002354,246,0.641,defolt,Отказ (скор 246). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Нестабильность дохода (CV): -18 баллов
AP002355,483,0.0624,toladi,Одобрено (скор 483). Положительные факторы: PTI (платёж/доход): +13 баллов; DTI (долг/доход): +13 баллов; Тип занятости: +11 баллов
AP002356,462,0.0821,toladi,Одобрено (скор 462). Положительные факторы: Тип занятости: +11 баллов; Возраст: +8 баллов; Нестабильность дохода (CV): +8 баллов
AP002357,485,0.0609,toladi,Одобрено (скор 485). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Тип занятости: +13 баллов
AP002358,604,0.0122,toladi,Одобрено (скор 604). Положительные факторы: Медианный доход: +62 баллов; Стаж работы (мес): +27 баллов; PTI (платёж/доход): +17 баллов
AP002359,508,0.0447,toladi,Одобрено (скор 508). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Срок кредита (мес): +11 баллов
AP002360,418,0.1403,defolt,Отказ (скор 418). Основные факторы: DTI (долг/доход): -54 баллов; PTI (платёж/доход): -45 баллов; Медианный доход: -18 баллов
AP002361,445,0.1008,defolt,Отказ (скор 445). Основные факторы: PTI (платёж/доход): -24 баллов; Сумма/Доход: -18 баллов; Медианный доход: -16 баллов
AP002362,420,0.1368,defolt,Отказ (скор 420). Основные факторы: Стаж работы (мес): -27 баллов; Возраст: -18 баллов; Нестабильность дохода (CV): -17 баллов
AP002363,398,0.178,defolt,Отказ (скор 398). Основные факторы: DTI (долг/доход): -20 баллов; Нестабильность дохода (CV): -18 баллов; Стаж работы (мес): -18 баллов
AP002364,515,0.041,toladi,Одобрено (скор 515). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; Тип занятости: +11 баллов
AP002365,524,0.0363,toladi,Одобрено (скор 524). Положительные факторы: PTI (платёж/доход): +17 баллов; DTI (долг/доход): +17 баллов; Возраст: +15 баллов
AP002366,427,0.1267,defolt,Отказ (скор 427). Основные факторы: Срок кредита (мес): -22 баллов; Возраст: -22 баллов; Стаж работы (мес): -20 баллов
AP002367,499,0.0508,toladi,Одобрено (скор 499). Положительные факторы: Возраст: +18 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002368,483,0.0621,toladi,Одобрено (скор 483). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; Стаж работы (мес): +13 баллов
AP002369,381,0.2145,defolt,Отказ (скор 381). Основные факторы: DTI (долг/доход): -28 баллов; PTI (платёж/доход): -26 баллов; Сумма/Доход: -26 баллов
AP002370,474,0.07,toladi,Одобрено (скор 474). Положительные факторы: PTI (платёж/доход): +15 баллов; DTI (долг/доход): +15 баллов; Тип занятости: +13 баллов
AP002371,488,0.0587,toladi,Одобрено (скор 488). Положительные факторы: Тип занятости: +11 баллов; Возраст: +8 баллов; Нестабильность дохода (CV): +8 баллов
AP002372,437,0.1124,defolt,Отказ (скор 437). Основные факторы: Срок кредита (мес): -22 баллов; Стаж работы (мес): -16 баллов; Медианный доход: -14 баллов
AP002373,484,0.0613,toladi,Одобрено (скор 484). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; PTI (платёж/доход): +10 баллов
AP002374,458,0.086,toladi,Одобрено (скор 458). Положительные факторы: Медианный доход: +36 баллов; Возраст: +23 баллов
AP002375,238,0.6668,defolt,Отказ (скор 238). Основные факторы: DTI (долг/доход): -138 баллов; PTI (платёж/доход): -79 баллов; Медианный доход: -20 баллов
AP002376,419,0.14,defolt,Отказ (скор 419). Основные факторы: Возраст: -23 баллов; Нестабильность дохода (CV): -14 баллов; Медианный доход: -9 баллов
AP002377,489,0.058,toladi,Одобрено (скор 489). Положительные факторы: PTI (платёж/доход): +17 баллов; DTI (долг/доход): +17 баллов; Медианный доход: +9 баллов
AP002378,444,0.1023,defolt,Отказ (скор 444). Основные факторы: Стаж работы (мес): -26 баллов; Срок кредита (мес): -22 баллов; Возраст: -22 баллов
AP002379,507,0.0454,toladi,Одобрено (скор 507). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов; Тип занятости: +11 баллов
AP002380,564,0.0213,toladi,Одобрено (скор 564). Положительные факторы: Стаж работы (мес): +20 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002381,499,0.0506,toladi,Одобрено (скор 499). Положительные факторы: PTI (платёж/доход): +12 баллов; DTI (долг/доход): +11 баллов; Возраст: +7 баллов
AP002382,484,0.0619,toladi,Одобрено (скор 484). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; Срок кредита (мес): +11 баллов
AP002383,372,0.2361,defolt,Отказ (скор 372). Основные факторы: PTI (платёж/доход): -70 баллов; DTI (долг/доход): -29 баллов; Сумма/Доход: -20 баллов
AP002384,461,0.0828,toladi,Одобрено (скор 461). Положительные факторы: Медианный доход: +12 баллов; Нестабильность дохода (CV): +7 баллов; Образование: +6 баллов
AP002385,523,0.0367,toladi,Одобрено (скор 523). Положительные факторы: Стаж работы (мес): +22 баллов; DTI (долг/доход): +17 баллов; Возраст: +16 баллов
AP002386,492,0.0556,toladi,Одобрено (скор 492). Положительные факторы: Стаж работы (мес): +19 баллов; DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов
AP002387,543,0.0283,toladi,Одобрено (скор 543). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; Тип занятости: +13 баллов
AP002388,495,0.0535,toladi,Одобрено (скор 495). Положительные факторы: Стаж работы (мес): +20 баллов; Срок кредита (мес): +15 баллов; Сумма/Доход: +7 баллов
AP002389,538,0.0301,toladi,Одобрено (скор 538). Положительные факторы: Стаж работы (мес): +19 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
AP002390,504,0.0474,toladi,Одобрено (скор 504). Положительные факторы: PTI (платёж/доход): +13 баллов; DTI (долг/доход): +13 баллов; Тип занятости: +11 баллов
AP002391,534,0.0317,toladi,Одобрено (скор 534). Положительные факторы: Медианный доход: +17 баллов; DTI (долг/доход): +15 баллов; PTI (платёж/доход): +12 баллов
AP002392,558,0.0229,toladi,Одобрено (скор 558). Положительные факторы: Возраст: +22 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002393,499,0.0505,toladi,Одобрено (скор 499). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов; Медианный доход: +14 баллов
AP002394,519,0.0388,toladi,Одобрено (скор 519). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Стаж работы (мес): +8 баллов
AP002395,517,0.0402,toladi,Одобрено (скор 517). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; Возраст: +11 баллов
AP002396,512,0.0428,toladi,Одобрено (скор 512). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов; Медианный доход: +14 баллов
AP002397,501,0.0494,toladi,Одобрено (скор 501). Положительные факторы: Возраст: +23 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002398,505,0.0466,toladi,Одобрено (скор 505). Положительные факторы: Стаж работы (мес): +23 баллов; Медианный доход: +8 баллов; Образование: +6 баллов
AP002399,590,0.015,toladi,Одобрено (скор 590). Положительные факторы: Медианный доход: +62 баллов; PTI (платёж/доход): +17 баллов; DTI (долг/доход): +17 баллов
AP002400,488,0.0585,toladi,Одобрено (скор 488). Положительные факторы: Возраст: +23 баллов; Срок кредита (мес): +15 баллов; Тип занятости: +13 баллов
AP002401,492,0.0554,toladi,Одобрено (скор 492). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Возраст: +13 баллов
AP002402,440,0.1082,defolt,Отказ (скор 440). Основные факторы: Возраст: -24 баллов; Стаж работы (мес): -24 баллов; Нестабильность дохода (CV): -12 баллов
AP002403,462,0.0817,toladi,Одобрено (скор 462). Положительные факторы: Возраст: +14 баллов; PTI (платёж/доход): +10 баллов; Нестабильность дохода (CV): +7 баллов
AP002404,529,0.0342,toladi,Одобрено (скор 529). Положительные факторы: Стаж работы (мес): +18 баллов; Медианный доход: +17 баллов; PTI (платёж/доход): +16 баллов
AP002405,504,0.0471,toladi,Одобрено (скор 504). Положительные факторы: DTI (долг/доход): +17 баллов; Возраст: +13 баллов; PTI (платёж/доход): +11 баллов
AP002406,300,0.4578,defolt,Отказ (скор 300). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов
AP002407,482,0.063,toladi,Одобрено (скор 482). Положительные факторы: Стаж работы (мес): +24 баллов; Срок кредита (мес): +15 баллов; Тип занятости: +13 баллов
AP002408,237,0.669,defolt,Отказ (скор 237). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Медианный доход: -10 баллов
AP002409,565,0.021,toladi,Одобрено (скор 565). Положительные факторы: Медианный доход: +27 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов
AP002410,527,0.0348,toladi,Одобрено (скор 527). Положительные факторы: Стаж работы (мес): +28 баллов; DTI (долг/доход): +16 баллов; PTI (платёж/доход): +14 баллов
AP002411,528,0.0346,toladi,Одобрено (скор 528). Положительные факторы: Стаж работы (мес): +24 баллов; Срок кредита (мес): +11 баллов; PTI (платёж/доход): +8 баллов
AP002412,506,0.0462,toladi,Одобрено (скор 506). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +11 баллов; Срок кредита (мес): +11 баллов
AP002413,315,0.4048,defolt,Отказ (скор 315). Основные факторы: DTI (долг/доход): -77 баллов; PTI (платёж/доход): -55 баллов; Сумма/Доход: -31 баллов
AP002414,538,0.0303,toladi,Одобрено (скор 538). Положительные факторы: Медианный доход: +34 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002415,483,0.0625,toladi,Одобрено (скор 483). Положительные факторы: Стаж работы (мес): +20 баллов; Срок кредита (мес): +11 баллов; Сумма/Доход: +6 баллов
AP002416,413,0.1502,defolt,Отказ (скор 413). Основные факторы: PTI (платёж/доход): -47 баллов; Сумма/Доход: -17 баллов; Медианный доход: -17 баллов
AP002417,509,0.0447,toladi,Одобрено (скор 509). Положительные факторы: DTI (долг/доход): +12 баллов; PTI (платёж/доход): +11 баллов; Срок кредита (мес): +11 баллов
AP002418,525,0.0359,toladi,Одобрено (скор 525). Положительные факторы: Медианный доход: +20 баллов; Возраст: +18 баллов; DTI (долг/доход): +17 баллов
AP002419,511,0.0432,toladi,Одобрено (скор 511). Положительные факторы: Тип занятости: +11 баллов; PTI (платёж/доход): +10 баллов; Возраст: +10 баллов
AP002420,368,0.247,defolt,Отказ (скор 368). Основные факторы: PTI (платёж/доход): -42 баллов; DTI (долг/доход): -39 баллов; Стаж работы (мес): -19 баллов
AP002421,520,0.0386,toladi,Одобрено (скор 520). Положительные факторы: Возраст: +19 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002422,535,0.0313,toladi,Одобрено (скор 535). Положительные факторы: Медианный доход: +30 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +17 баллов
AP002423,528,0.0346,toladi,Одобрено (скор 528). Положительные факторы: Медианный доход: +37 баллов; PTI (платёж/доход): +17 баллов; DTI (долг/доход): +17 баллов
AP002424,423,0.1321,defolt,Отказ (скор 423). Основные факторы: Срок кредита (мес): -22 баллов; Возраст: -22 баллов; Нестабильность дохода (CV): -14 баллов
AP002425,497,0.0522,toladi,Одобрено (скор 497). Положительные факторы: Медианный доход: +25 баллов; PTI (платёж/доход): +14 баллов; DTI (долг/доход): +12 баллов
AP002426,460,0.0844,toladi,Одобрено (скор 460). Положительные факторы: Тип занятости: +11 баллов; PTI (платёж/доход): +11 баллов; DTI (долг/доход): +8 баллов
AP002427,297,0.4666,defolt,Отказ (скор 297). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов
AP002428,512,0.0429,toladi,Одобрено (скор 512). Положительные факторы: Стаж работы (мес): +27 баллов; Возраст: +18 баллов; DTI (долг/доход): +17 баллов
AP002429,261,0.5901,defolt,Отказ (скор 261). Основные факторы: PTI (платёж/доход): -79 баллов; DTI (долг/доход): -59 баллов; Сумма/Доход: -34 баллов
AP002430,327,0.3671,defolt,Отказ (скор 327). Основные факторы: DTI (долг/доход): -76 баллов; PTI (платёж/доход): -43 баллов; Макс. просрочка (дн): -17 баллов
AP002431,512,0.0428,toladi,Одобрено (скор 512). Положительные факторы: Возраст: +19 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002432,504,0.0474,toladi,Одобрено (скор 504). Положительные факторы: Возраст: +23 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002433,151,0.8693,defolt,Отказ (скор 151). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; DTI (долг/доход): -26 баллов
AP002434,477,0.0674,toladi,Одобрено (скор 477). Положительные факторы: DTI (долг/доход): +13 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002435,479,0.0656,toladi,Одобрено (скор 479). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +11 баллов; Срок кредита (мес): +11 баллов
AP002436,495,0.0537,toladi,Одобрено (скор 495). Положительные факторы: Стаж работы (мес): +28 баллов; DTI (долг/доход): +17 баллов
AP002437,605,0.0121,toladi,Одобрено (скор 605). Положительные факторы: Медианный доход: +28 баллов; Возраст: +23 баллов; DTI (долг/доход): +17 баллов
AP002438,478,0.0667,toladi,Одобрено (скор 478). Положительные факторы: Нестабильность дохода (CV): +8 баллов; Медианный доход: +7 баллов; PTI (платёж/доход): +5 баллов
AP002439,388,0.1983,defolt,Отказ (скор 388). Основные факторы: DTI (долг/доход): -56 баллов; PTI (платёж/доход): -43 баллов; Возраст: -24 баллов
AP002440,188,0.7997,defolt,Отказ (скор 188). Основные факторы: DTI (долг/доход): -123 баллов; PTI (платёж/доход): -79 баллов; Возраст: -23 баллов
AP002441,517,0.0399,toladi,Одобрено (скор 517). Положительные факторы: Срок кредита (мес): +15 баллов; DTI (долг/доход): +14 баллов; Возраст: +10 баллов
AP002442,506,0.0461,toladi,Одобрено (скор 506). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Стаж работы (мес): +14 баллов
AP002443,462,0.0817,toladi,Одобрено (скор 462). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов; Тип занятости: +11 баллов
AP002444,544,0.0278,toladi,Одобрено (скор 544). Положительные факторы: Возраст: +21 баллов; Стаж работы (мес): +17 баллов; PTI (платёж/доход): +13 баллов
AP002445,368,0.2473,defolt,Отказ (скор 368). Основные факторы: DTI (долг/доход): -25 баллов; Стаж работы (мес): -24 баллов; Срок кредита (мес): -22 баллов
AP002446,397,0.1802,defolt,Отказ (скор 397). Основные факторы: Сумма/Доход: -26 баллов; Стаж работы (мес): -24 баллов; Возраст: -20 баллов
AP002447,520,0.0382,toladi,Одобрено (скор 520). Положительные факторы: Стаж работы (мес): +28 баллов; PTI (платёж/доход): +12 баллов; Тип занятости: +11 баллов
AP002448,500,0.0499,toladi,Одобрено (скор 500). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Стаж работы (мес): +13 баллов
AP002449,474,0.0704,toladi,Одобрено (скор 474). Положительные факторы: Возраст: +24 баллов; Срок кредита (мес): +11 баллов
AP002450,502,0.0485,toladi,Одобрено (скор 502). Положительные факторы: Стаж работы (мес): +16 баллов; Срок кредита (мес): +15 баллов; Тип занятости: +11 баллов
AP002451,20,0.976,defolt,Отказ (скор 20). Основные факторы: Тип занятости: -190 баллов; DTI (долг/доход): -100 баллов; PTI (платёж/доход): -57 баллов
AP002452,507,0.0459,toladi,Одобрено (скор 507). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; Стаж работы (мес): +13 баллов
AP002453,302,0.4504,defolt,Отказ (скор 302). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов
AP002454,464,0.08,toladi,Одобрено (скор 464). Положительные факторы: Возраст: +24 баллов; DTI (долг/доход): +17 баллов
AP002455,491,0.0561,toladi,Одобрено (скор 491). Положительные факторы: Стаж работы (мес): +19 баллов; Медианный доход: +16 баллов; Срок кредита (мес): +15 баллов
AP002456,506,0.0461,toladi,Одобрено (скор 506). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; PTI (платёж/доход): +13 баллов
AP002457,431,0.1205,defolt,Отказ (скор 431). Основные факторы: DTI (долг/доход): -22 баллов; Медианный доход: -19 баллов; Возраст: -15 баллов
AP002458,476,0.0684,toladi,Одобрено (скор 476). Положительные факторы: Срок кредита (мес): +15 баллов; DTI (долг/доход): +14 баллов; Тип занятости: +13 баллов
AP002459,490,0.057,toladi,Одобрено (скор 490). Положительные факторы: Тип занятости: +13 баллов; DTI (долг/доход): +11 баллов; PTI (платёж/доход): +10 баллов
AP002460,496,0.0528,toladi,Одобрено (скор 496). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов; PTI (платёж/доход): +11 баллов
AP002461,549,0.0261,toladi,Одобрено (скор 549). Положительные факторы: Стаж работы (мес): +21 баллов; Возраст: +21 баллов; DTI (долг/доход): +17 баллов
AP002462,554,0.0242,toladi,Одобрено (скор 554). Положительные факторы: Стаж работы (мес): +20 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов
AP002463,251,0.6243,defolt,Отказ (скор 251). Основные факторы: DTI (долг/доход): -138 баллов; PTI (платёж/доход): -79 баллов; Сумма/Доход: -21 баллов
AP002464,559,0.0226,toladi,Одобрено (скор 559). Положительные факторы: Медианный доход: +22 баллов; Стаж работы (мес): +22 баллов; Возраст: +18 баллов
AP002465,493,0.0546,toladi,Одобрено (скор 493). Положительные факторы: Стаж работы (мес): +20 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов
AP002466,471,0.0731,toladi,Одобрено (скор 471). Положительные факторы: DTI (долг/доход): +15 баллов; Тип занятости: +13 баллов; PTI (платёж/доход): +12 баллов
AP002467,504,0.0476,toladi,Одобрено (скор 504). Положительные факторы: DTI (долг/доход): +16 баллов; Стаж работы (мес): +16 баллов; PTI (платёж/доход): +13 баллов
AP002468,523,0.0367,toladi,Одобрено (скор 523). Положительные факторы: Медианный доход: +25 баллов; Стаж работы (мес): +14 баллов; Тип занятости: +13 баллов
AP002469,490,0.0571,toladi,Одобрено (скор 490). Положительные факторы: Стаж работы (мес): +20 баллов; Медианный доход: +13 баллов
AP002470,408,0.1595,defolt,Отказ (скор 408). Основные факторы: Макс. просрочка (дн): -40 баллов; Стаж работы (мес): -18 баллов; Нестабильность дохода (CV): -15 баллов
AP002471,414,0.1478,defolt,Отказ (скор 414). Основные факторы: DTI (долг/доход): -61 баллов; PTI (платёж/доход): -34 баллов; Срок кредита (мес): -22 баллов
AP002472,487,0.0596,toladi,Одобрено (скор 487). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +13 баллов; Нестабильность дохода (CV): +7 баллов
AP002473,448,0.0977,defolt,Отказ (скор 448). Основные факторы: DTI (долг/доход): -24 баллов; Медианный доход: -20 баллов; PTI (платёж/доход): -13 баллов
AP002474,475,0.0694,toladi,Одобрено (скор 475). Положительные факторы: DTI (долг/доход): +17 баллов; Срок кредита (мес): +11 баллов
AP002475,466,0.0773,toladi,Одобрено (скор 466). Положительные факторы: Возраст: +22 баллов; DTI (долг/доход): +15 баллов; PTI (платёж/доход): +13 баллов
AP002476,556,0.0235,toladi,Одобрено (скор 556). Положительные факторы: Медианный доход: +24 баллов; DTI (долг/доход): +15 баллов; Стаж работы (мес): +14 баллов
AP002477,494,0.0543,toladi,Одобрено (скор 494). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов; PTI (платёж/доход): +12 баллов
AP002478,476,0.0683,toladi,Одобрено (скор 476). Положительные факторы: Срок кредита (мес): +15 баллов; Тип занятости: +13 баллов; Стаж работы (мес): +10 баллов
AP002479,492,0.0557,toladi,Одобрено (скор 492). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +16 баллов; Возраст: +14 баллов
AP002480,291,0.4878,defolt,Отказ (скор 291). Основные факторы: Тип занятости: -190 баллов; Стаж работы (мес): -28 баллов; Возраст: -15 баллов
AP002481,467,0.0764,toladi,Одобрено (скор 467). Положительные факторы: Стаж работы (мес): +13 баллов; Тип занятости: +13 баллов; Нестабильность дохода (CV): +8 баллов
AP002482,390,0.1938,defolt,Отказ (скор 390). Основные факторы: Стаж работы (мес): -27 баллов; Возраст: -24 баллов; Сумма/Доход: -20 баллов
AP002483,549,0.0261,toladi,Одобрено (скор 549). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +15 баллов; Стаж работы (мес): +13 баллов
AP002484,460,0.0841,toladi,Одобрено (скор 460). Положительные факторы: DTI (долг/доход): +11 баллов; PTI (платёж/доход): +11 баллов
AP002485,518,0.0393,toladi,Одобрено (скор 518). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +11 баллов; Тип занятости: +11 баллов
AP002486,446,0.1006,defolt,Отказ (скор 446). Основные факторы: Срок кредита (мес): -22 баллов; Сумма/Доход: -15 баллов; Медианный доход: -9 баллов
AP002487,482,0.0631,toladi,Одобрено (скор 482). Положительные факторы: DTI (долг/доход): +17 баллов; Возраст: +16 баллов; Срок кредита (мес): +15 баллов
AP002488,435,0.1154,defolt,Отказ (скор 435). Основные факторы: Возраст: -24 баллов; Срок кредита (мес): -22 баллов; Стаж работы (мес): -20 баллов
AP002489,426,0.1279,defolt,Отказ (скор 426). Основные факторы: Срок кредита (мес): -22 баллов; Возраст: -18 баллов; Медианный доход: -12 баллов
AP002490,587,0.0156,toladi,Одобрено (скор 587). Положительные факторы: Стаж работы (мес): +21 баллов; Возраст: +21 баллов; Медианный доход: +18 баллов
AP002491,397,0.1793,defolt,Отказ (скор 397). Основные факторы: Возраст: -22 баллов; Стаж работы (мес): -18 баллов; DTI (долг/доход): -14 баллов
AP002492,495,0.0531,toladi,Одобрено (скор 495). Положительные факторы: DTI (долг/доход): +17 баллов; PTI (платёж/доход): +14 баллов; Образование: +6 баллов
AP002493,475,0.0692,toladi,Одобрено (скор 475). Положительные факторы: Медианный доход: +30 баллов; PTI (платёж/доход): +13 баллов
AP002494,429,0.1233,defolt,Отказ (скор 429). Основные факторы: Сумма/Доход: -15 баллов; Медианный доход: -13 баллов; Нестабильность дохода (CV): -11 баллов
AP002495,585,0.0159,toladi,Одобрено (скор 585). Положительные факторы: Медианный доход: +51 баллов; Срок кредита (мес): +15 баллов; DTI (долг/доход): +14 баллов
AP002496,292,0.4851,defolt,Отказ (скор 292). Основные факторы: DTI (долг/доход): -84 баллов; PTI (платёж/доход): -54 баллов; Возраст: -20 баллов
AP002497,462,0.0822,toladi,Одобрено (скор 462). Положительные факторы: Медианный доход: +28 баллов; PTI (платёж/доход): +10 баллов
AP002498,430,0.1225,defolt,Отказ (скор 430). Основные факторы: Сумма/Доход: -36 баллов; PTI (платёж/доход): -27 баллов; Медианный доход: -22 баллов
AP002499,536,0.0311,toladi,Одобрено (скор 536). Положительные факторы: Возраст: +24 баллов; DTI (долг/доход): +17 баллов; PTI (платёж/доход): +12 баллов
AP002500,466,0.0782,toladi,Одобрено (скор 466). Положительные факторы: DTI (долг/доход): +17 баллов; Тип занятости: +13 баллов
AP002501,479,0.0661,toladi,Одобрено (скор 479). Положительные факторы: Стаж работы (мес): +27 баллов; PTI (платёж/доход): +10 баллов
AP002502,457,0.0869,toladi,Одобрено (скор 457). Положительные факторы: Тип занятости: +11 баллов; Стаж работы (мес): +9 баллов; PTI (платёж/доход): +8 баллов
AP002503,523,0.0368,toladi,Одобрено (скор 523). Положительные факторы: Медианный доход: +29 баллов; Срок кредита (мес): +15 баллов; Нестабильность дохода (CV): +8 баллов
AP002504,552,0.0249,toladi,Одобрено (скор 552). Положительные факторы: Возраст: +18 баллов; DTI (долг/доход): +17 баллов; Срок кредита (мес): +15 баллов
